Length,Diameter,Height,ShuckedWeight,VisceraWeight,ShellWeight,WholeWeight,NumRings,Sex
0.67,0.525,0.165,0.682,0.3145,0.4005,1.6085,11,M
0.675,0.57,0.225,0.739,0.2995,0.435,1.587,10,F
0.675,0.565,0.195,0.7645,0.3615,0.553,1.8375,12,F
0.68,0.535,0.185,0.7245,0.3215,0.498,1.607,12,M
0.69,0.525,0.175,0.8255,0.362,0.405,1.7005,8,M
0.69,0.505,0.2,0.893,0.4015,0.48,1.872,10,M
0.695,0.535,0.175,0.8035,0.396,0.503,1.8385,10,F
0.705,0.535,0.18,0.693,0.42,0.4045,1.685,12,F
0.71,0.565,0.205,1.012,0.5225,0.5475,2.198,11,M
0.715,0.565,0.175,0.7645,0.4185,0.4135,1.9525,10,M
0.715,0.525,0.185,0.6655,0.383,0.405,1.56,11,F
0.735,0.6,0.22,1.1335,0.44,0.6,2.555,11,F
0.765,0.6,0.22,1.007,0.509,0.6205,2.302,12,M
0.185,0.13,0.045,0.012,0.0075,0.0095,0.029,4,I
0.195,0.15,0.045,0.018,0.006,0.011,0.0375,3,I
0.195,0.135,0.04,0.0135,0.005,0.0095,0.0325,4,I
0.2,0.155,0.04,0.0155,0.009,0.007,0.0435,4,I
0.225,0.165,0.055,0.027,0.0125,0.015,0.059,4,I
0.245,0.18,0.065,0.03,0.013,0.0215,0.071,4,I
0.25,0.18,0.065,0.0245,0.0155,0.0225,0.0685,5,I
0.265,0.195,0.055,0.0365,0.0175,0.025,0.084,7,I
0.275,0.195,0.065,0.054,0.02,0.028,0.106,6,I
0.28,0.21,0.085,0.0415,0.024,0.034,0.1075,5,I
0.285,0.22,0.065,0.0405,0.0205,0.03,0.096,5,I
0.3,0.22,0.08,0.055,0.0265,0.039,0.1255,6,I
0.315,0.235,0.055,0.065,0.027,0.039,0.151,6,I
0.32,0.225,0.085,0.0675,0.0295,0.0405,0.1415,6,I
0.34,0.265,0.08,0.09,0.0475,0.055,0.2015,5,I
0.37,0.28,0.1,0.1165,0.0265,0.0635,0.221,6,I
0.375,0.28,0.08,0.1125,0.0455,0.067,0.2345,6,I
0.375,0.275,0.1,0.1165,0.042,0.065,0.2325,6,I
0.385,0.29,0.08,0.122,0.0495,0.065,0.2485,7,I
0.4,0.32,0.095,0.194,0.053,0.087,0.348,6,I
0.405,0.3,0.11,0.172,0.044,0.093,0.32,7,I
0.41,0.3,0.1,0.1255,0.057,0.0875,0.282,7,I
0.41,0.325,0.1,0.132,0.072,0.106,0.3245,6,I
0.42,0.3,0.105,0.1255,0.07,0.1035,0.316,7,I
0.42,0.32,0.11,0.174,0.0635,0.105,0.3625,7,I
0.42,0.31,0.095,0.1255,0.051,0.088,0.279,6,I
0.425,0.325,0.115,0.162,0.0865,0.1045,0.3685,7,I
0.43,0.335,0.12,0.1985,0.0865,0.1035,0.397,7,M
0.435,0.33,0.11,0.2055,0.096,0.096,0.413,6,I
0.435,0.345,0.115,0.222,0.0735,0.106,0.418,7,I
0.44,0.33,0.11,0.1545,0.084,0.12,0.3705,7,I
0.445,0.345,0.105,0.1675,0.1015,0.117,0.409,7,I
0.445,0.34,0.145,0.1945,0.0905,0.13,0.434,7,I
0.445,0.335,0.11,0.1985,0.0935,0.109,0.411,8,I
0.45,0.365,0.125,0.2135,0.0985,0.1315,0.462,8,I
0.45,0.34,0.12,0.241,0.1075,0.12,0.4925,6,I
0.45,0.33,0.105,0.1865,0.0785,0.0975,0.3715,7,I
0.45,0.33,0.1,0.1945,0.1,0.098,0.411,6,I
0.45,0.33,0.11,0.16,0.0885,0.102,0.3685,6,I
0.46,0.35,0.115,0.18,0.098,0.1175,0.4155,7,I
0.47,0.36,0.105,0.27,0.1395,0.129,0.544,7,M
0.47,0.38,0.125,0.211,0.1075,0.142,0.4845,6,I
0.475,0.35,0.11,0.206,0.099,0.13,0.4565,6,I
0.475,0.35,0.1,0.2165,0.111,0.115,0.4545,7,I
0.48,0.38,0.125,0.3395,0.1085,0.1665,0.6245,8,I
0.49,0.465,0.125,0.235,0.13,0.141,0.5225,7,M
0.5,0.375,0.14,0.248,0.112,0.1585,0.5495,7,I
0.5,0.375,0.12,0.215,0.116,0.17,0.542,9,I
0.5,0.38,0.125,0.2485,0.1135,0.134,0.519,8,I
0.5,0.39,0.125,0.2485,0.117,0.131,0.5215,6,M
0.505,0.39,0.125,0.246,0.15,0.1405,0.5445,7,F
0.51,0.405,0.125,0.3465,0.1395,0.182,0.6795,8,I
0.51,0.4,0.125,0.261,0.115,0.1385,0.545,6,F
0.51,0.4,0.125,0.2615,0.1195,0.1525,0.5575,9,I
0.51,0.38,0.115,0.215,0.1135,0.166,0.5155,8,I
0.515,0.385,0.125,0.3175,0.1265,0.15,0.6115,8,I
0.52,0.4,0.145,0.3525,0.1845,0.185,0.7765,9,M
0.52,0.38,0.135,0.2295,0.133,0.157,0.5395,8,I
0.52,0.38,0.125,0.288,0.1295,0.167,0.5545,8,I
0.52,0.46,0.15,0.523,0.1985,0.254,1.019,7,F
0.525,0.4,0.13,0.325,0.1245,0.17,0.6455,8,I
0.525,0.4,0.14,0.2625,0.1285,0.1835,0.601,9,I
0.525,0.405,0.12,0.3755,0.1555,0.201,0.7555,9,M
0.525,0.395,0.12,0.297,0.1395,0.1405,0.608,8,I
0.53,0.4,0.125,0.279,0.127,0.19,0.617,8,I
0.535,0.39,0.125,0.2595,0.149,0.169,0.599,9,I
0.54,0.42,0.14,0.3125,0.138,0.1895,0.6665,10,I
0.545,0.39,0.135,0.4225,0.1815,0.156,0.7835,7,M
0.545,0.41,0.12,0.434,0.1405,0.19,0.793,9,M
0.545,0.415,0.14,0.4615,0.127,0.218,0.82,9,M
0.55,0.415,0.135,0.427,0.1855,0.175,0.8145,8,F
0.55,0.43,0.15,0.395,0.195,0.223,0.84,8,F
0.55,0.425,0.15,0.411,0.1765,0.2165,0.8315,10,M
0.56,0.43,0.145,0.464,0.1775,0.234,0.8995,9,M
0.56,0.445,0.16,0.42,0.2175,0.2215,0.8965,8,M
0.56,0.44,0.155,0.336,0.1765,0.245,0.6405,8,F
0.56,0.415,0.145,0.43,0.1885,0.205,0.852,8,M
0.565,0.455,0.15,0.4565,0.2395,0.23,0.9595,9,M
0.565,0.435,0.15,0.5795,0.1825,0.206,0.99,8,M
0.565,0.45,0.175,0.447,0.2375,0.2645,1.0095,9,F
0.57,0.46,0.15,0.5415,0.2035,0.25,1.0375,9,M
0.57,0.445,0.145,0.412,0.217,0.22,0.8775,8,F
0.57,0.44,0.15,0.3425,0.16,0.224,0.755,8,I
0.575,0.46,0.145,0.466,0.229,0.265,0.9945,7,F
0.575,0.45,0.16,0.556,0.214,0.2575,1.068,10,F
0.575,0.435,0.14,0.401,0.191,0.222,0.8455,9,M
0.575,0.47,0.165,0.435,0.197,0.238,0.869,9,F
0.575,0.455,0.135,0.4245,0.197,0.26,0.907,9,M
0.575,0.435,0.13,0.3155,0.2155,0.245,0.805,10,I
0.575,0.445,0.17,0.549,0.2175,0.228,1.0225,9,M
0.575,0.445,0.145,0.415,0.1945,0.22,0.847,9,M
0.58,0.455,0.15,0.4765,0.2155,0.265,1.114,8,M
0.58,0.455,0.195,0.945,0.426,0.441,1.859,9,M
0.58,0.445,0.135,0.3775,0.1915,0.22,0.814,9,M
0.58,0.45,0.14,0.486,0.1815,0.253,0.9615,9,M
0.58,0.45,0.145,0.547,0.1975,0.2295,1.0025,8,M
0.58,0.45,0.155,0.385,0.246,0.265,0.93,9,F
0.585,0.46,0.145,0.478,0.1825,0.235,0.9335,9,M
0.585,0.465,0.16,0.4595,0.236,0.265,0.9555,7,M
0.59,0.47,0.15,0.481,0.232,0.24,0.9955,8,M
0.6,0.475,0.16,0.485,0.2495,0.2565,1.0265,9,F
0.6,0.455,0.17,0.696,0.2395,0.24,1.1915,8,M
0.6,0.465,0.15,0.5455,0.262,0.25,1.1025,8,F
0.6,0.465,0.155,0.512,0.2465,0.225,1.0165,10,M
0.605,0.47,0.165,0.611,0.2275,0.292,1.1775,9,F
0.605,0.475,0.14,0.555,0.257,0.274,1.1175,9,M
0.605,0.48,0.17,0.582,0.2365,0.317,1.1835,10,M
0.605,0.475,0.165,0.433,0.2195,0.357,1.056,9,F
0.61,0.485,0.16,0.5315,0.212,0.2415,1.0145,8,M
0.61,0.485,0.145,0.783,0.2255,0.2865,1.3305,9,M
0.61,0.47,0.165,0.498,0.242,0.267,1.052,9,M
0.615,0.46,0.17,0.4815,0.272,0.27,1.0565,10,M
0.615,0.465,0.15,0.4615,0.1825,0.2415,0.923,9,F
0.615,0.475,0.155,0.447,0.25,0.285,1.027,9,F
0.62,0.47,0.135,0.5315,0.2005,0.2475,1.0195,8,M
0.62,0.45,0.2,0.4285,0.1525,0.2405,0.858,8,M
0.62,0.48,0.16,0.5635,0.2445,0.281,1.1125,8,F
0.625,0.485,0.175,0.7335,0.2715,0.332,1.3745,9,F
0.625,0.48,0.185,0.587,0.29,0.286,1.2065,8,M
0.63,0.47,0.155,0.589,0.211,0.287,1.1325,8,M
0.63,0.5,0.175,0.5635,0.3065,0.3425,1.2645,10,M
0.635,0.495,0.015,0.5115,0.308,0.2885,1.1565,9,F
0.64,0.515,0.165,0.632,0.3415,0.358,1.369,10,M
0.645,0.53,0.195,0.6465,0.2945,0.3735,1.39,10,M
0.645,0.48,0.17,0.528,0.254,0.305,1.1345,10,F
0.65,0.5,0.19,0.6415,0.339,0.4245,1.464,9,F
0.65,0.5,0.155,0.565,0.3135,0.294,1.202,11,M
0.655,0.515,0.16,0.553,0.369,0.345,1.31,11,M
0.655,0.51,0.175,0.5885,0.3725,0.364,1.415,10,F
0.66,0.53,0.185,0.546,0.2705,0.476,1.346,11,F
0.665,0.525,0.16,0.629,0.279,0.34,1.363,8,M
0.665,0.5,0.17,0.6035,0.291,0.3595,1.2975,9,I
0.67,0.505,0.205,0.6075,0.3025,0.353,1.3645,9,F
0.685,0.54,0.215,0.664,0.3655,0.4735,1.7025,14,F
0.685,0.52,0.165,0.699,0.3685,0.4,1.519,10,M
0.69,0.54,0.155,0.624,0.3105,0.39,1.454,9,F
0.69,0.53,0.21,0.7355,0.405,0.3865,1.583,12,M
0.69,0.53,0.17,0.7945,0.3485,0.3695,1.5535,9,F
0.695,0.56,0.185,0.885,0.3715,0.4375,1.74,10,M
0.7,0.565,0.18,0.895,0.3355,0.446,1.751,9,M
0.7,0.575,0.19,1.095,0.418,0.638,2.273,12,M
0.7,0.525,0.19,0.8545,0.307,0.3995,1.6465,9,F
0.705,0.55,0.17,0.6395,0.236,0.301,1.219,9,F
0.71,0.56,0.18,0.735,0.381,0.4525,1.652,11,F
0.715,0.55,0.19,1.0465,0.407,0.5075,2.0045,12,M
0.715,0.535,0.19,0.889,0.313,0.42,1.6755,10,M
0.72,0.58,0.195,1.0265,0.48,0.5375,2.103,10,F
0.72,0.55,0.2,0.9035,0.469,0.5215,1.9965,10,F
0.72,0.565,0.145,0.691,0.1945,0.2685,1.187,8,M
0.725,0.505,0.185,1.026,0.4255,0.4505,1.978,12,M
0.73,0.575,0.185,0.931,0.38,0.4825,1.8795,12,F
0.735,0.585,0.185,0.952,0.55,0.5,2.124,11,M
0.745,0.565,0.215,0.896,0.4585,0.5,1.931,11,M
0.75,0.57,0.21,1.109,0.5195,0.545,2.236,11,F
0.755,0.625,0.21,1.1965,0.513,0.6785,2.505,11,F
0.755,0.58,0.205,0.8295,0.4015,0.595,2.0065,10,M
0.78,0.63,0.215,1.488,0.4985,0.586,2.657,11,F
0.185,0.375,0.12,0.196,0.1045,0.15,0.4645,6,I
0.245,0.205,0.06,0.034,0.014,0.0215,0.0765,4,I
0.25,0.185,0.065,0.0295,0.014,0.0225,0.0685,5,I
0.25,0.19,0.065,0.039,0.015,0.025,0.0835,5,I
0.275,0.195,0.09,0.0545,0.0295,0.0355,0.1125,6,I
0.305,0.215,0.065,0.044,0.0205,0.038,0.1075,5,I
0.31,0.225,0.07,0.435,0.015,0.04,0.1055,5,I
0.315,0.23,0.08,0.0545,0.031,0.0445,0.1375,5,I
0.315,0.23,0.07,0.046,0.0235,0.0385,0.1145,5,I
0.325,0.225,0.075,0.0565,0.032,0.09,0.139,6,I
0.33,0.25,0.095,0.102,0.0395,0.052,0.2085,7,I
0.33,0.205,0.095,0.077,0.032,0.0435,0.1595,5,I
0.335,0.245,0.09,0.096,0.0405,0.048,0.2015,7,I
0.34,0.25,0.09,0.0775,0.033,0.055,0.179,6,I
0.345,0.255,0.095,0.0925,0.037,0.055,0.1945,6,I
0.345,0.255,0.085,0.105,0.037,0.05,0.2005,5,I
0.35,0.27,0.075,0.1,0.036,0.065,0.215,6,I
0.35,0.255,0.09,0.0855,0.0305,0.0525,0.1785,8,I
0.36,0.27,0.085,0.0875,0.035,0.064,0.196,4,I
0.365,0.27,0.085,0.081,0.042,0.058,0.1875,6,I
0.365,0.27,0.085,0.0825,0.0375,0.06,0.196,7,I
0.365,0.265,0.085,0.0945,0.049,0.06,0.213,7,I
0.37,0.29,0.09,0.089,0.0655,0.075,0.2445,7,I
0.37,0.28,0.085,0.1095,0.035,0.062,0.217,6,I
0.375,0.29,0.095,0.096,0.041,0.061,0.213,5,I
0.375,0.29,0.085,0.118,0.045,0.0695,0.2385,7,I
0.375,0.275,0.09,0.093,0.0405,0.0755,0.218,6,I
0.375,0.275,0.095,0.11,0.0415,0.0775,0.2465,6,I
0.375,0.28,0.08,0.0825,0.048,0.065,0.2025,8,I
0.375,0.27,0.085,0.0945,0.039,0.07,0.218,7,I
0.38,0.275,0.11,0.11,0.0535,0.0755,0.256,6,I
0.38,0.27,0.08,0.0865,0.042,0.07,0.2105,8,I
0.385,0.29,0.09,0.111,0.0595,0.0745,0.2615,9,I
0.385,0.28,0.085,0.097,0.038,0.067,0.2175,8,I
0.385,0.3,0.095,0.152,0.0615,0.0735,0.302,7,I
0.385,0.28,0.09,0.1025,0.042,0.0655,0.228,5,I
0.39,0.3,0.095,0.1665,0.0575,0.089,0.3265,7,I
0.395,0.305,0.105,0.1135,0.0595,0.0945,0.284,8,I
0.395,0.295,0.095,0.115,0.0625,0.085,0.2725,8,I
0.395,0.27,0.1,0.1445,0.061,0.082,0.2985,5,I
0.4,0.29,0.1,0.1205,0.0605,0.0765,0.2675,5,I
0.405,0.285,0.09,0.1265,0.0505,0.075,0.2645,6,I
0.41,0.335,0.11,0.157,0.0705,0.17,0.33,7,I
0.42,0.305,0.09,0.168,0.0615,0.082,0.328,6,I
0.425,0.325,0.11,0.173,0.045,0.1,0.3335,7,I
0.425,0.32,0.1,0.126,0.06,0.106,0.3055,7,I
0.425,0.31,0.09,0.1385,0.065,0.08,0.301,7,I
0.43,0.34,0,0.2065,0.086,0.115,0.428,8,I
0.43,0.315,0.095,0.175,0.08,0.1045,0.378,8,I
0.435,0.315,0.11,0.1615,0.0715,0.12,0.3685,7,I
0.44,0.34,0.12,0.2115,0.083,0.12,0.438,9,I
0.45,0.33,0.105,0.208,0.089,0.12,0.448,9,I
0.455,0.345,0.105,0.164,0.0755,0.126,0.4005,8,I
0.455,0.365,0.115,0.184,0.108,0.1245,0.4305,8,F
0.455,0.33,0.1,0.358,0.0775,0.11,0.372,8,I
0.46,0.36,0.105,0.2225,0.099,0.11,0.466,7,I
0.46,0.35,0.105,0.1575,0.077,0.114,0.3705,9,I
0.46,0.365,0.125,0.206,0.1045,0.141,0.4785,8,F
0.465,0.34,0.11,0.1425,0.073,0.113,0.346,11,I
0.47,0.365,0.1,0.175,0.0855,0.135,0.411,8,I
0.47,0.355,0.18,0.2055,0.105,0.1505,0.48,8,I
0.47,0.355,0.12,0.167,0.0885,0.115,0.393,8,I
0.475,0.355,0.1,0.2535,0.091,0.14,0.5035,8,I
0.475,0.38,0.12,0.1785,0.0885,0.1505,0.441,8,I
0.475,0.36,0.11,0.211,0.11,0.15,0.492,8,I
0.48,0.37,0.125,0.244,0.101,0.165,0.5435,9,I
0.48,0.355,0.115,0.2065,0.112,0.132,0.4725,8,I
0.48,0.365,0.1,0.2205,0.0835,0.135,0.461,8,I
0.495,0.355,0.12,0.214,0.1045,0.1495,0.4965,8,I
0.495,0.38,0.13,0.2185,0.116,0.16,0.5125,7,I
0.495,0.395,0.12,0.224,0.1375,0.167,0.553,8,M
0.5,0.38,0.135,0.2945,0.104,0.1565,0.594,9,I
0.5,0.42,0.135,0.302,0.1415,0.2065,0.6765,9,M
0.5,0.375,0.145,0.239,0.1375,0.185,0.5795,9,I
0.5,0.41,0.14,0.2585,0.1625,0.196,0.6615,9,I
0.5,0.375,0.125,0.259,0.124,0.157,0.5695,7,I
0.5,0.395,0.14,0.2925,0.1205,0.195,0.6215,9,I
0.505,0.405,0.13,0.3015,0.11,0.18,0.6015,8,I
0.505,0.38,0.12,0.2595,0.1435,0.18,0.594,7,I
0.505,0.395,0.105,0.248,0.103,0.171,0.551,8,I
0.515,0.38,0.12,0.3265,0.1295,0.16,0.625,7,I
0.515,0.42,0.135,0.337,0.144,0.205,0.711,13,I
0.515,0.4,0.135,0.32,0.1255,0.175,0.6965,9,I
0.52,0.4,0.13,0.233,0.1365,0.18,0.5825,10,I
0.52,0.395,0.125,0.3005,0.131,0.1905,0.663,9,I
0.525,0.4,0.125,0.369,0.1385,0.164,0.6965,9,I
0.525,0.42,0.155,0.428,0.1415,0.2045,0.842,9,M
0.53,0.415,0.13,0.3905,0.111,0.167,0.694,9,I
0.53,0.42,0.155,0.4725,0.111,0.192,0.81,10,I
0.53,0.415,0.11,0.2525,0.1235,0.189,0.5745,9,I
0.53,0.425,0.13,0.419,0.1205,0.21,0.7675,9,I
0.535,0.4,0.135,0.2895,0.121,0.154,0.6025,9,I
0.535,0.415,0.15,0.3595,0.135,0.225,0.5765,8,I
0.535,0.41,0.13,0.335,0.144,0.2075,0.7145,9,F
0.535,0.435,0.15,0.3475,0.1445,0.194,0.717,9,M
0.54,0.42,0.145,0.4315,0.163,0.2175,0.8655,10,F
0.54,0.42,0.14,0.3205,0.1445,0.229,0.7265,9,I
0.545,0.435,0.135,0.372,0.148,0.227,0.7715,8,I
0.545,0.445,0.15,0.3535,0.163,0.207,0.8,9,F
0.545,0.43,0.15,0.302,0.1315,0.2545,0.7285,10,I
0.545,0.405,0.135,0.27,0.1185,0.185,0.5945,8,I
0.55,0.43,0.145,0.3745,0.171,0.223,0.7895,11,I
0.55,0.405,0.125,0.2965,0.137,0.2,0.651,9,F
0.55,0.43,0.15,0.413,0.1905,0.248,0.8745,9,M
0.55,0.435,0.14,0.3285,0.1555,0.2325,0.7535,10,I
0.55,0.425,0.135,0.3325,0.1545,0.215,0.7305,9,I
0.555,0.44,0.14,0.407,0.156,0.255,0.8705,9,M
0.555,0.43,0.155,0.3135,0.1435,0.28,0.7395,10,I
0.555,0.43,0.14,0.341,0.165,0.23,0.7665,9,I
0.555,0.425,0.145,0.3485,0.1765,0.225,0.7905,9,I
0.56,0.425,0.135,0.3715,0.185,0.236,0.8205,9,I
0.56,0.425,0.145,0.3095,0.1305,0.2165,0.688,9,I
0.56,0.445,0.155,0.5565,0.3225,0.2695,1.224,10,F
0.56,0.455,0.145,0.547,0.1615,0.235,0.974,9,I
0.565,0.44,0.175,0.414,0.21,0.21,0.8735,11,I
0.565,0.45,0.145,0.4215,0.1685,0.225,0.8495,8,F
0.565,0.445,0.15,0.3635,0.184,0.219,0.796,8,M
0.565,0.39,0.125,0.352,0.13,0.1685,0.744,11,M
0.57,0.45,0.145,0.2825,0.2195,0.2215,0.751,10,I
0.57,0.45,0.135,0.3815,0.1415,0.245,0.794,8,I
0.57,0.46,0.135,0.397,0.2525,0.2655,0.9795,9,F
0.57,0.435,0.17,0.382,0.183,0.2705,0.873,10,M
0.57,0.44,0.13,0.347,0.1785,0.202,0.7665,10,I
0.57,0.435,0.125,0.383,0.1835,0.275,0.8965,9,M
0.575,0.42,0.135,0.461,0.147,0.2125,0.857,10,F
0.575,0.48,0.165,0.511,0.2095,0.306,1.078,9,F
0.575,0.46,0.155,0.4415,0.176,0.22,0.892,10,M
0.58,0.46,0.155,0.6715,0.273,0.2955,1.4395,10,M
0.58,0.455,0.135,0.405,0.167,0.204,0.7955,10,M
0.58,0.445,0.15,0.4,0.156,0.253,0.858,8,F
0.585,0.465,0.155,0.4555,0.1965,0.235,0.9145,9,M
0.585,0.49,0.185,0.522,0.2535,0.335,1.171,10,M
0.585,0.475,0.16,0.48,0.234,0.285,1.0505,10,I
0.585,0.46,0.165,0.5825,0.2345,0.274,1.1135,10,M
0.585,0.47,0.165,0.8,0.229,0.295,1.409,10,M
0.585,0.475,0.15,0.5315,0.199,0.2885,1.065,10,M
0.585,0.45,0.18,0.336,0.1855,0.237,0.7995,8,M
0.59,0.445,0.135,0.328,0.1745,0.23,0.7715,9,I
0.59,0.47,0.18,0.5985,0.227,0.31,1.187,9,M
0.59,0.455,0.155,0.388,0.188,0.275,0.8855,10,M
0.595,0.465,0.15,0.4115,0.196,0.2255,0.98,10,F
0.595,0.465,0.155,0.4645,0.112,0.305,1.026,12,F
0.6,0.475,0.17,0.508,0.272,0.309,1.1315,10,M
0.6,0.48,0.155,0.451,0.1885,0.325,1.014,11,M
0.6,0.475,0.15,0.565,0.2465,0.27,1.12,10,I
0.6,0.465,0.155,0.4755,0.25,0.28,1.04,11,F
0.6,0.455,0.145,0.419,0.1715,0.269,0.8895,10,F
0.6,0.46,0.155,0.4455,0.189,0.295,0.9595,11,M
0.605,0.485,0.15,0.6315,0.226,0.33,1.238,11,I
0.605,0.49,0.14,0.419,0.206,0.315,0.9755,10,M
0.605,0.435,0.13,0.432,0.174,0.26,0.9025,11,I
0.605,0.475,0.175,0.463,0.2195,0.335,1.076,9,F
0.605,0.47,0.16,0.5405,0.2215,0.275,1.0835,12,F
0.61,0.45,0.15,0.407,0.1835,0.25,0.871,10,M
0.61,0.48,0.165,0.6345,0.257,0.305,1.244,12,M
0.61,0.475,0.17,0.435,0.2335,0.3035,1.0265,10,M
0.61,0.465,0.15,0.4495,0.1725,0.286,0.9605,9,I
0.61,0.48,0.17,0.4565,0.29,0.347,1.137,10,M
0.61,0.46,0.16,0.494,0.197,0.275,1,10,M
0.615,0.475,0.155,0.4475,0.193,0.2895,1.004,10,F
0.615,0.47,0.165,0.4465,0.2195,0.34,1.128,10,M
0.615,0.5,0.17,0.4845,0.228,0.295,1.054,10,M
0.615,0.475,0.165,0.4905,0.1955,0.3035,1.023,12,F
0.615,0.475,0.17,0.4795,0.302,0.3,1.129,10,M
0.615,0.48,0.175,0.446,0.3195,0.3,1.118,9,M
0.615,0.475,0.155,0.484,0.2115,0.355,1.115,10,F
0.62,0.51,0.175,0.5715,0.2385,0.39,1.2815,10,M
0.62,0.495,0.18,0.5765,0.254,0.355,1.2555,12,M
0.62,0.5,0.15,0.596,0.3135,0.354,1.293,10,F
0.62,0.475,0.16,0.463,0.2685,0.33,1.1295,10,F
0.625,0.455,0.17,0.4955,0.2345,0.315,1.082,9,M
0.625,0.505,0.175,0.5475,0.256,0.3045,1.15,11,F
0.625,0.515,0.16,0.5715,0.326,0.321,1.264,9,F
0.625,0.48,0.155,0.5865,0.239,0.3185,1.2035,12,F
0.63,0.485,0.17,0.5945,0.345,0.345,1.3205,9,F
0.63,0.505,0.18,0.6025,0.295,0.315,1.272,11,I
0.63,0.485,0.145,0.5065,0.1785,0.3365,1.062,12,M
0.63,0.475,0.145,0.5165,0.2195,0.28,1.0605,10,I
0.63,0.495,0.16,0.497,0.221,0.315,1.093,12,M
0.635,0.49,0.16,0.534,0.1865,0.3455,1.101,10,M
0.635,0.5,0.165,0.705,0.2645,0.39,1.4595,9,F
0.635,0.495,0.175,0.707,0.2725,0.323,1.211,9,F
0.635,0.475,0.17,0.5205,0.2695,0.3665,1.1935,10,M
0.635,0.51,0.155,0.405,0.2255,0.31,0.986,10,M
0.64,0.565,0.23,0.644,0.372,0.406,1.521,15,M
0.64,0.525,0.18,0.4865,0.2995,0.4075,1.3135,10,M
0.645,0.51,0.16,0.556,0.2385,0.345,1.1835,11,M
0.645,0.5,0.195,0.6165,0.3515,0.3725,1.401,10,M
0.645,0.525,0.16,0.7455,0.245,0.4325,1.5075,11,M
0.65,0.505,0.165,0.4785,0.274,0.349,1.16,11,F
0.65,0.59,0.22,0.77,0.378,0.435,1.662,11,F
0.65,0.525,0.175,0.6865,0.3585,0.405,1.5365,11,M
0.65,0.51,0.19,0.7155,0.3735,0.375,1.542,9,M
0.65,0.51,0.17,0.7245,0.349,0.391,1.567,10,F
0.655,0.525,0.19,0.564,0.3215,0.3985,1.3595,10,F
0.655,0.535,0.205,0.7305,0.3595,0.46,1.6445,13,M
0.655,0.52,0.19,0.6,0.3865,0.383,1.4545,10,F
0.655,0.49,0.175,0.6395,0.294,0.365,1.3585,10,M
0.66,0.495,0.21,0.724,0.3525,0.3925,1.548,10,F
0.66,0.515,0.17,0.615,0.3125,0.3575,1.337,10,F
0.665,0.53,0.18,0.6345,0.342,0.435,1.491,10,F
0.67,0.53,0.225,0.63,0.487,0.3725,1.5615,11,F
0.67,0.505,0.175,0.4375,0.271,0.3745,1.0145,10,F
0.675,0.545,0.185,0.876,0.3135,0.469,1.7375,13,M
0.685,0.545,0.205,0.8145,0.416,0.461,1.7925,9,M
0.695,0.565,0.19,0.7465,0.399,0.4975,1.7635,11,F
0.7,0.545,0.13,0.6725,0.374,0.195,1.556,12,F
0.705,0.565,0.515,1.1075,0.4865,0.512,2.21,10,M
0.705,0.555,0.215,1.0465,0.383,0.528,2.141,11,M
0.705,0.57,0.18,0.96,0.4195,0.43,1.5345,12,F
0.71,0.55,0.17,0.743,0.345,0.45,1.614,11,F
0.72,0.575,0.17,0.913,0.389,0.51,1.9335,13,F
0.72,0.575,0.215,0.9515,0.564,0.5365,2.173,12,M
0.725,0.6,0.2,0.697,0.3585,0.595,1.737,11,F
0.73,0.58,0.19,0.6785,0.4345,0.52,1.7375,11,F
0.735,0.565,0.205,0.949,0.46,0.565,2.1275,12,F
0.745,0.57,0.215,1.1565,0.446,0.558,2.25,9,F
0.75,0.61,0.235,1.232,0.519,0.612,2.5085,14,F
0.815,0.65,0.25,0.8905,0.42,0.7975,2.255,14,F
0.14,0.105,0.035,0.0055,0.0025,0.004,0.014,3,I
0.23,0.165,0.06,0.019,0.0145,0.036,0.0515,4,I
0.365,0.265,0.135,0.105,0.047,0.0605,0.2215,7,I
0.365,0.255,0.08,0.0785,0.0345,0.053,0.1985,5,I
0.37,0.27,0.095,0.1325,0.041,0.0615,0.232,6,I
0.375,0.28,0.085,0.187,0.046,0.067,0.3155,7,I
0.385,0.3,0.09,0.1225,0.044,0.0675,0.247,5,I
0.395,0.295,0.09,0.143,0.0665,0.0765,0.3025,5,I
0.4,0.29,0.11,0.188,0.0455,0.0825,0.329,6,I
0.4,0.3,0.09,0.1185,0.061,0.08,0.2815,7,I
0.405,0.31,0.095,0.1785,0.064,0.0855,0.3425,8,I
0.405,0.29,0.09,0.112,0.075,0.0815,0.2825,7,I
0.405,0.3,0.105,0.1455,0.061,0.0805,0.304,6,I
0.41,0.32,0.095,0.141,0.063,0.073,0.2905,5,I
0.415,0.315,0.115,0.2015,0.065,0.103,0.3895,9,M
0.425,0.34,0.105,0.2015,0.0905,0.088,0.389,6,I
0.43,0.34,0.105,0.2385,0.0745,0.1075,0.4405,6,I
0.44,0.34,0.105,0.164,0.08,0.1015,0.369,5,I
0.44,0.32,0.12,0.2435,0.092,0.1025,0.4565,8,M
0.44,0.365,0.11,0.213,0.089,0.1135,0.4465,9,I
0.45,0.335,0.125,0.2165,0.126,0.11,0.4475,6,M
0.455,0.335,0.135,0.274,0.0995,0.1065,0.501,7,I
0.46,0.355,0.11,0.1975,0.096,0.125,0.436,8,I
